	size	noverlap	hg_fdr	fej_fdr	ks_fdr
GO:0072593	99	47	1.56270577906481e-20	7.26368979431867e-20	0.030333174799648
GO:0072599	104	3	1	1	0.835369378586306
GO:0060562	99	42	2.67884837585091e-16	1.11803924882953e-15	0.310083468980389
GO:0060560	93	29	4.75297908270139e-08	1.46371901947076e-07	0.796390422174176
GO:1901699	374	140	1.63064701295376e-44	6.00909470092452e-44	0.000141676135634254
GO:1901617	142	27	0.00167024535106432	0.00318438802184543	0.221363532014057
GO:1901616	57	12	0.0159344231536173	0.0340181661871393	0.78982869339662
GO:0072503	352	121	2.6192047825112e-34	8.88486127119504e-34	0.0587585519898247
GO:0072507	374	126	1.04275601721539e-34	3.4675022285404e-34	0.0368162823910524
GO:0072521	325	31	0.788924689710065	0.859588535127794	0.613390681012722
GO:0072524	102	6	1	1	0.311144096200745
GO:0072523	52	8	0.198937508978912	0.330294111881165	0.729245981126852
GO:0072522	138	8	1	1	0.269059168356014
GO:0072527	81	8	0.691976903104969	0.838607356074376	0.704771319622308
GO:1901653	174	59	6.7604392405356e-17	2.25653539134477e-16	0.0121734397636851
GO:0060537	91	29	2.81645663461245e-08	8.82169812328136e-08	0.740571962709088
GO:1901652	303	115	2.88320595607613e-37	1.08118515491162e-36	0.00869016361588009
GO:1901655	76	30	4.59126262567508e-11	1.78085081199533e-10	0.110846355939451
GO:1901654	172	66	4.58975870757403e-22	1.72061628835047e-21	0.00884267377164774
GO:1901657	302	26	0.945062638948367	0.992920747866789	0.50555279472031
GO:1901659	118	4	1	1	0.621746068600291
GO:0072511	278	73	5.40048406849628e-14	1.40042016032038e-13	0.311144096200745
GO:1901615	399	74	5.47817487910451e-07	1.01411400454075e-06	0.397872087972413
GO:1901606	100	6	1	1	0.89492625666946
GO:1901605	216	19	0.887329413376574	0.954554070253397	0.200998559195275
GO:1901607	66	3	1	1	0.310120710645492
GO:0035567	138	31	3.31919123766837e-05	7.4188124226047e-05	0.144647715311931
GO:0045047	100	1	1	1	0.901266695764191
GO:0060688	54	26	4.35393151617779e-12	2.04817749893941e-11	0.0368162823910524
GO:0045055	193	93	2.5894591389959e-40	1.2198531360446e-39	0.002746089177521
GO:0072657	324	50	0.00307224317358443	0.00479042993767067	0.761066785330239
GO:0072655	64	8	0.400231883301541	0.565395068804317	0.362693374706058
GO:0072659	84	19	0.00104699410847714	0.00238417561301752	0.278569697780189
GO:1901565	355	41	0.283722027937037	0.345198705822756	0.998059145073079
GO:0045069	80	49	6.42733385637179e-28	3.82321418970022e-27	0.0141762112683892
GO:1901568	95	15	0.077262643429418	0.127118787339704	0.876293962235241
GO:0045089	243	78	2.41580797844035e-20	7.65089661917064e-20	0.0829234942547341
GO:0045087	457	162	6.77269759292321e-48	2.385708553634e-47	2.85340766313695e-05
GO:0045088	349	139	7.19119402613994e-48	2.84545429544914e-47	0.000876280351378994
GO:0072676	52	13	0.00265132571142963	0.00664725473586861	0.612193391543267
GO:0070085	256	11	1	1	0.340489299427519
GO:0070098	73	21	1.42369091652343e-05	4.03788434377578e-05	0.383949254981996
GO:0035637	81	11	0.253765838907071	0.373434796067793	0.26445084986164
GO:0008033	118	1	1	1	0.405844871128548
GO:0008037	148	22	0.0624907560851949	0.0963100420021931	0.456190885474446
GO:0008016	222	65	5.53584499347355e-15	1.60419402653172e-14	0.0286235619705307
GO:0035601	65	16	0.00102201981994877	0.00251413804765834	0.743571332190681
GO:0008064	168	35	5.49159217270495e-05	0.000114114312526124	0.188366709956242
GO:0033013	57	4	0.942590138352051	1	0.614878201800613
GO:0045017	203	26	0.173602474724459	0.234340257736899	0.814214112045572
GO:0060606	76	19	0.000280650125290131	0.000697891674288479	0.33928966532751
GO:0033047	52	12	0.00765023653043996	0.0178346766542527	0.0940846102169541
GO:0033045	63	15	0.00210087330145197	0.00501104210255847	0.168667298348984
GO:0033044	136	41	2.41724361476744e-10	7.19857268200674e-10	0.0690970776493608
GO:0060627	426	198	9.2669338225868e-83	4.20774387025364e-82	7.46496335082503e-05
GO:0035690	63	31	1.67638201228829e-14	8.04661764786757e-14	0.0340428642479648
GO:0060359	78	35	1.10800762762572e-14	4.85910683837916e-14	0.14260695531355
GO:0072330	169	19	0.443881076220983	0.550149123740362	0.89492625666946
GO:0072332	53	15	0.000303483074359492	0.00085189159058324	0.0766451696211112
GO:0072331	124	28	7.24907629422975e-05	0.000163116928277621	0.528444125857912
GO:0035383	88	1	1	1	0.202025847240584
